FEDUID,FEDNAME,PRUID,dist_nearest_reserve_km,nearest_reserve_idx,nearest_reserve_uid,nearest_reserve_name,nearest_reserve_cwb,nearest_reserve_urban,nearest_reserve_pop,dist_nearest_cwb_Q1_lowest_km,dist_nearest_cwb_Q2_km,dist_nearest_cwb_Q3_km,dist_nearest_cwb_Q4_highest_km,dist_nearest_urban_cma_km,dist_nearest_semi_urban_ca_km,dist_nearest_rural_remote_km,log_dist_nearest_km,log_dist_urban_km,log_dist_rural_km,log_dist_cwb_q1_km,log_dist_cwb_q4_km
10001,Avalon,10,192.76499811124827,1,1003801,Samiajij Miawpukek,72,rural_remote,953,1616.9570765112794,703.0862849050817,573.2208382613279,192.76499811124827,820.2496841263542,536.0235285963522,192.76499811124827,5.26664607484393,6.710827185173303,5.26664607484393,7.388919568534331,5.26664607484393
10002,Bonavista--Burin--Trinity,10,112.90476983303769,1,1003801,Samiajij Miawpukek,72,rural_remote,953,1529.4767203895617,594.1422331648225,544.7714106993983,112.90476983303769,791.2500006583386,506.8727859897982,112.90476983303769,4.735362746951525,6.674876999402003,4.735362746951525,7.3333345478088665,4.735362746951525
10003,Coast of Bays--Central--Notre Dame,10,87.76172272571195,1,1003801,Samiajij Miawpukek,72,rural_remote,953,1399.603854201788,459.2399537798728,469.8655819298274,87.76172272571195,707.8693472721598,433.28932806738624,87.76172272571195,4.485955506683075,6.5636712320786765,4.485955506683075,7.244658747039556,4.485955506683075
10004,Labrador,10,137.9822917225809,3,1010802,Sheshatshiu 3,66,rural_remote,1225,1082.1814636338854,192.09382967306718,137.9822917225809,719.2801873200765,968.2264128084996,526.197497985416,137.9822917225809,4.934346527335644,6.8764982407465425,4.934346527335644,6.987657789413625,6.579640285366907
10005,Long Range Mountains,10,207.6829351495326,1,1003801,Samiajij Miawpukek,72,rural_remote,953,1272.365220314812,321.5549524186626,441.01953144563674,207.6829351495326,655.6860216217815,409.33750969347,207.6829351495326,5.340816043368352,6.487206007180495,5.340816043368352,7.149418454751014,5.340816043368352
10006,St. John's East / St. John's-Est,10,220.95784114178778,1,1003801,Samiajij Miawpukek,72,rural_remote,953,1647.7415332719686,715.7187122309878,631.2001281349113,220.95784114178778,879.0070603582002,593.5300429673354,220.95784114178778,5.402487459071365,6.779929930574386,5.402487459071365,7.407767568777683,5.402487459071365
10007,St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl,10,224.57522910070065,1,1003801,Samiajij Miawpukek,72,rural_remote,953,1652.685878258867,725.7065574853673,625.368979513219,224.57522910070065,872.9429508820206,587.8833564620395,224.57522910070065,5.418653713509887,6.7730150999347565,5.418653713509887,7.4107619411378405,5.418653713509887
11001,Cardigan,11,23.63286702304469,4,1102057,Scotchfort 4,69,semi_urban_ca,230,968.6307476258362,186.19843647102041,23.63286702304469,102.26524203511167,147.5221587421993,23.63286702304469,102.26524203511167,3.2040816090545574,5.000734164230175,4.637300843562089,6.876915326472555,4.637300843562089
11002,Charlottetown,11,20.657313594110153,4,1102057,Scotchfort 4,69,semi_urban_ca,230,932.4090148579629,148.5123339456706,20.657313594110153,67.889672124518,135.95199545358605,20.657313594110153,67.889672124518,3.075343207754937,4.9196304662753425,4.23250627018774,6.838843491555601,4.23250627018774
11003,Egmont,11,18.61439795655647,5,1103035,Lennox Island 1,71,rural_remote,308,847.8284059352558,71.17215352545645,58.062707603870535,18.61439795655647,184.1923519836385,97.4390740642847,18.61439795655647,2.9762638861778052,5.221395025374703,2.9762638861778052,6.743857052733268,2.9762638861778052
11004,Malpeque,11,41.08049463770208,4,1102057,Scotchfort 4,69,semi_urban_ca,230,907.6986785165856,123.94075249067976,41.08049463770208,44.42294436071238,141.7121608054113,41.08049463770208,44.42294436071238,3.7395843230586117,4.960829740231022,3.8160173597791762,6.812013552443157,3.8160173597791762
12001,Cape Breton--Canso,12,19.288389551839945,15,1215008,Whycocomagh 2,70,rural_remote,877,1103.1025939488525,319.7012650942681,32.94999671860879,19.288389551839945,209.25151769003622,38.76195707020518,19.288389551839945,3.0100487791666883,5.34830451732896,3.0100487791666883,7.006788151820877,3.0100487791666883
12002,Central Nova / Nova-Centre,12,48.44550335076169,13,1212019,Fisher's Grant 24,68,semi_urban_ca,449,1020.6545117645551,242.37571360363017,48.44550335076169,58.21569689724008,74.73562401967372,48.44550335076169,77.39599590410512,3.9008711206835205,4.327248644460113,4.36177285340039,6.929178662500489,4.081186657035052
12003,Cumberland--Colchester,12,42.69269956312151,12,1210003,Millbrook 27,71,semi_urban_ca,921,922.8867314578548,152.7640208632286,88.10145170644606,42.69269956312151,55.11678395045734,42.69269956312151,68.74256397164596,3.7771810300936544,4.0274349469360295,4.244810805292748,6.828589479125207,3.7771810300936544
12004,Dartmouth--Cole Harbour,12,6.175345318772573,11,1209019,Cole Harbour 30,73,urban_cma,208,985.0934374015628,243.23773274016028,132.46249493951913,6.175345318772573,6.175345318772573,75.69742967516562,69.04390206756909,1.9706508885394938,1.9706508885394938,4.249122217852791,6.89375111421175,1.9706508885394938
12005,Halifax,12,36.76028917410465,11,1209019,Cole Harbour 30,73,urban_cma,208,1027.9735665003475,281.08385738887387,139.21762031206288,36.76028917410465,36.76028917410465,97.55035124556323,111.86019336585912,3.631257999460493,3.631257999460493,4.726149825864523,6.936317046971875,3.631257999460493
12006,Halifax West / Halifax-Ouest,12,23.306358995992742,11,1209019,Cole Harbour 30,73,urban_cma,208,968.3008981592368,231.62623969070347,138.49131514494667,23.306358995992742,23.306358995992742,77.44054024812785,53.00159251715632,3.1907380031903023,3.1907380031903023,3.989013537187872,6.876575088104175,3.1907380031903023
