FEDUID,FEDNAME,PRUID,area_nonres_km2,dist_nearest_reserve_km,nearest_reserve_idx,nearest_reserve_uid,nearest_reserve_name,nearest_reserve_cwb,nearest_reserve_urban,nearest_reserve_urban_class,nearest_reserve_pop,log_dist_nearest_km,log_area_nonres_km2,urban_class,dist_q_Q1_lowest_km,dist_q_Q2_km,dist_q_Q3_km,dist_q_Q4_highest_km,area_orig_km2,centroid_shift_km
10001,Avalon,10,7115.042014247414,192.76499811120274,1,1003801,Samiajij Miawpukek,72,First Nations Community,rural_remote,953,5.266646074843695,8.870106952962704,rural_remote,1616.9570765112367,703.0862849050354,573.2208382612954,192.76499811120274,7115.042014248659,1.9380965988763382e-11
10002,Bonavista--Burin--Trinity,10,18513.064878802757,112.90476983325776,1,1003801,Samiajij Miawpukek,72,First Nations Community,rural_remote,953,4.735362746953457,9.826285985931417,rural_remote,1529.4767203897966,594.1422331650462,544.7714106995986,112.90476983325776,18513.06487880059,1.746745083211001e-10
10003,Coast of Bays--Central--Notre Dame,10,43611.02521060415,87.79684044123547,1,1003801,Samiajij Miawpukek,72,First Nations Community,rural_remote,953,4.486351068748402,10.68308819889187,rural_remote,1399.593420760753,459.22117999773707,469.8826744293587,87.79684044123547,43628.476093829595,0.03511771533757307
10004,Labrador,10,285985.90705031523,137.97701448744454,3,1010802,Sheshatshiu 3,66,First Nations Community,rural_remote,1225,4.934308556056978,12.563701309209723,rural_remote,1082.1601449932336,192.12119214843534,137.97701448744454,719.2525886682847,286036.835367913,0.02762167499500049
10005,Long Range Mountains,10,41246.65627913076,207.68293514944642,1,1003801,Samiajij Miawpukek,72,First Nations Community,rural_remote,953,5.340816043367939,10.627349572673035,rural_remote,1272.3652203149657,321.55495241880357,441.0195314457392,207.68293514944642,41246.656279129835,1.7254620151267298e-10
10006,St. John's East / St. John's-Est,10,349.6240532618713,220.95784114174123,1,1003801,Samiajij Miawpukek,72,First Nations Community,rural_remote,953,5.402487459071154,5.85971457612892,rural_remote,1647.7415332719215,715.7187122309414,631.2001281348686,220.95784114174123,349.62405326190435,4.085099734265601e-11
10007,St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl,10,452.25157907490944,224.57522910071836,1,1003801,Samiajij Miawpukek,72,First Nations Community,rural_remote,953,5.418653713509965,6.11644733352279,rural_remote,1652.685878258885,725.7065574853872,625.368979513228,224.57522910071836,452.2515790748354,1.686696920196976e-11
11001,Cardigan,11,2637.8322530099904,23.6489905576518,4,1102057,Scotchfort 4,69,First Nations Community,semi_urban_ca,230,3.204735948642143,7.8780917698789885,semi_urban_ca,968.6463581904048,186.21312424966078,23.6489905576518,102.28101200715356,2640.096152694534,0.016280199052643413
11002,Charlottetown,11,45.58302942055848,20.6573135941065,4,1102057,Scotchfort 4,69,First Nations Community,semi_urban_ca,230,3.075343207754768,3.841236299279094,semi_urban_ca,932.4090148579695,148.51233394568303,20.6573135941065,67.88967212452442,45.583029420532306,1.69950421814757e-11
11003,Egmont,11,1516.031987043199,18.684354447875517,5,1103035,Lennox Island 1,71,First Nations Community,rural_remote,308,2.97982412974445,7.32451106485016,rural_remote,847.7584494812043,71.11000207006184,58.01325681441298,18.684354447875517,1521.7295271330672,0.0699564913841573
11004,Malpeque,11,1654.7060624434569,41.081069613012374,4,1102057,Scotchfort 4,69,First Nations Community,semi_urban_ca,230,3.7395979866665883,7.411982820665995,semi_urban_ca,907.6979703995181,123.94007683853617,41.081069613012374,44.42222296130145,1654.7494435958342,7.28106854939784e-4
12001,Cape Breton--Canso,12,9315.20144244955,19.29654221468379,15,1215008,Whycocomagh 2,70,First Nations Community,rural_remote,877,3.0104505372871855,9.139510254047561,rural_remote,1103.10779247092,319.70586301083466,32.95662124874217,19.29654221468379,9338.631109496682,0.00816364796633433
12002,Central Nova / Nova-Centre,12,9988.526604096623,48.45020914009898,13,1212019,Fisher's Grant 24,68,First Nations Community,semi_urban_ca,449,3.9009662873843274,9.209292483542486,semi_urban_ca,1020.6582103265134,242.3799970369412,48.45020914009898,58.218260371644355,9991.744528764633,0.004879465110726031
12003,Cumberland--Colchester,12,8226.053867522684,42.71226226010937,12,1210003,Millbrook 27,71,First Nations Community,semi_urban_ca,921,3.7776286636583043,9.01518325479824,semi_urban_ca,922.8672915971727,152.7453323766627,88.11559184005479,42.71226226010937,8229.823219224943,0.01956269697731766
12004,Dartmouth--Cole Harbour,12,100.81747731650384,6.187308668264778,11,1209019,Cole Harbour 30,73,First Nations Community,urban_cma,208,1.9723167857016395,4.623181772253923,urban_cma,985.0815705053118,243.22673930555612,132.46102006462496,6.187308668264778,101.01278861541779,0.011963349497633372
12005,Halifax,12,236.83400547915397,36.760289174150756,11,1209019,Cole Harbour 30,73,First Nations Community,urban_cma,208,3.631257999461714,5.471572974365968,urban_cma,1027.9735665003936,281.0838573889149,139.2176203120694,36.760289174150756,236.83400547907758,1.4901161193847657e-11
12006,Halifax West / Halifax-Ouest,12,257.5227034425057,23.299803125070994,11,1209019,Cole Harbour 30,73,First Nations Community,urban_cma,208,3.1904682484647524,5.554983517722446,urban_cma,968.3071130229059,231.63009130782743,138.4881584151992,23.299803125070994,257.97817298899923,0.006673514609062369
12007,Kings--Hants,12,4423.710548417258,16.511073034760077,9,1207027,Glooscap 35,70,First Nations Community,rural_remote,111,2.8628334256742862,8.39496014251546,rural_remote,929.8006498129774,188.73980845412095,130.44195817918973,16.511073034760077,4438.73561586551,0.10991584651459374
12008,Sackville--Preston--Chezzetcook,12,754.178330904038,14.595496305627867,11,1209019,Cole Harbour 30,73,First Nations Community,urban_cma,208,2.7469821742169103,6.626953921231125,urban_cma,981.7186200660526,235.18639086963572,122.27183799896568,14.595496305627867,754.1783309040286,1.744987622141068e-11
12009,South Shore--St. Margarets,12,9616.407507054582,73.23703371301556,7,1203009,Bear River (Part) 6,71,First Nations Community,rural_remote,141,4.307263132305456,9.171330017429655,rural_remote,927.4135196132825,265.98069973706333,111.62207077971215,73.23703371301556,9630.685417934383,0.05622121641295752
12010,Sydney--Victoria,12,4405.715204611727,46.01563782627276,19,1218003,Wagmatcook 1,65,First Nations Community,rural_remote,691,3.850480266079062,8.390884839339174,rural_remote,1109.765772561911,339.8112540396838,46.01563782627276,48.706136128366055,4448.231854520321,0.4878555958717059
12011,West Nova / Nova-Ouest,12,9849.446692658323,17.241694975607718,7,1203009,Bear River (Part) 6,71,First Nations Community,rural_remote,141,2.9037099066230874,9.195272082646335,rural_remote,871.5273092263318,246.39674297883062,83.1988187761548,17.241694975607718,9856.78007385561,0.011768350451544762
13001,Acadie--Bathurst,13,5166.2833427357455,15.408563263114095,34,1315010,Pabineau 11,74,First Nations Community,semi_urban_ca,133,2.7978033487470606,8.55010236377532,semi_urban_ca,715.2504928423562,118.56336157535911,48.730341133016154,15.408563263114095,5171.404155795867,0.015257823593608985
13002,Beauséjour,13,4103.878653823479,25.39281743356872,21,1308003,Buctouche 16,69,First Nations Community,rural_remote,101,3.2730919062250785,8.319931460870674,rural_remote,827.3895210322536,48.163308433160765,25.39281743356872,51.28265476911093,4105.241570054796,0.0019566112373478094
13003,Fredericton,13,1674.5019506469737,18.643339158673786,20,1303013,Oromocto 26,70,First Nations Community,rural_remote,295,2.977738306737266,7.4238680713945175,rural_remote,719.1422952879142,126.66278551340612,38.52526864398251,18.643339158673786,1678.5099182388135,0.0411525937624197
13004,Fundy Royal,13,7655.403554569408,87.5020870490934,21,1308003,Buctouche 16,69,First Nations Community,rural_remote,101,4.483026134211453,8.943297642633041,rural_remote,796.6700738080865,93.5333361454597,87.5020870490934,88.0507799209744,7655.403554569576,7.101945308513148e-11
13005,Madawaska--Restigouche,13,11871.896348812063,74.93573629095772,31,1313020,St. Basile 10,80,First Nations Community,semi_urban_ca,369,4.329887407467057,9.382013463636282,semi_urban_ca,572.9949239800263,219.08112429117512,96.85151460011677,74.93573629095772,11877.04537061194,0.004856421068165518
13006,Miramichi--Grand Lake,13,17251.937875692365,11.57530349842863,24,1309023,Red Bank 4,73,First Nations Community,semi_urban_ca,400,2.531734850758464,9.755737719592465,semi_urban_ca,709.6010841702907,75.71300231587875,74.83472641472231,11.57530349842863,17357.02810711283,0.252830687058999
13007,Moncton--Riverview--Dieppe,13,160.48429027417274,38.25275772693843,21,1308003,Buctouche 16,69,First Nations Community,rural_remote,101,3.6700217023192008,5.084407864087172,rural_remote,819.4346963954538,55.160672681062174,38.25275772693843,64.73715227645746,160.48429027412487,1.9199706733309013e-12
13008,New Brunswick Southwest / Nouveau-Brunswick-Sud-Ouest,13,10661.850363010866,35.78557076577357,20,1303013,Oromocto 26,70,First Nations Community,rural_remote,295,3.6051056695279153,9.274521050628037,rural_remote,722.8638333863706,176.08881750477977,46.29378873943973,35.78557076577357,10665.760768873228,0.016972769858166894
13009,Saint John--Rothesay,13,450.8298833288268,70.91485160560941,20,1303013,Oromocto 26,70,First Nations Community,rural_remote,295,4.275482802584481,6.113305744672651,rural_remote,780.053305330529,168.519677283124,96.62566352332573,70.91485160560941,450.82988332904233,5.6650140604919006e-12
13010,Tobique--Mactaquac,13,15042.482168941358,42.92099243642055,30,1312007,Tobique 20,66,First Nations Community,rural_remote,1080,3.782392393403642,9.618700097895797,rural_remote,626.7387325911013,173.91309121084353,42.92099243642055,58.91301038145605,15071.708557657665,0.0771125766738562
24001,Abitibi--Baie-James--Nunavik--Eeyou,24,847357.8783497482,415.3620558847956,52,2497808,Matimekosh,67,First Nations Community,rural_remote,661,6.031555208392776,13.649879589150007,rural_remote,642.055085533964,637.5488208052101,415.3620558847956,759.5081269363044,847361.0424532362,0.003198190941865337
24002,Abitibi--Témiscamingue,24,37639.613419491645,73.14990566691755,42,2485806,Timiskaming,68,First Nations Community,rural_remote,541,4.306088796390516,10.535838890577457,rural_remote,94.01714049599703,321.13613134637717,73.14990566691755,116.56028162988635,37659.87900541699,0.035842533480322056
24003,Ahuntsic-Cartierville,24,22.34218766896122,90.54574453387178,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.516838787613874,3.150262352927048,rural_remote,363.240198231674,195.2552330890432,445.8776697754594,90.54574453387178,22.342187668938834,2.7296848591745218e-11
24004,Alfred-Pellan,24,117.11589179166515,81.98047421246778,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.418605329668674,4.77166627631546,rural_remote,352.1081814454069,184.25108762922042,450.91503685303985,81.98047421246778,117.11589179171536,1.0559838703319958e-11
24005,Argenteuil--La Petite-Nation,24,5494.649682093894,106.60332078994516,40,2483802,Kitigan Zibi,71,First Nations Community,rural_remote,1204,4.678451509611536,8.611712091349183,rural_remote,311.5037047148077,163.1022447838556,364.2093943697235,106.60332078994516,5494.649682093158,5.803837971193363e-11
24006,Avignon--La Mitis--Matane--Matapédia,24,14633.829262569705,71.2086442172813,33,1314026,Indian Ranch,77,First Nations Community,rural_remote,134,4.279559764733321,9.591159532680736,rural_remote,576.1697926769687,206.9195217874537,132.4076869919315,71.2086442172813,14680.911656394004,0.16615202056399286
24007,Beauce,24,4244.170812008405,93.79375774000276,36,2423802,Wendake,82,First Nations Community,urban_cma,2200,4.551703560468549,8.353537336336,urban_cma,424.85441732831436,305.6438491381107,247.9936335097346,93.79375774000276,4244.170812008307,3.259712163894872e-11
24008,Beauport--Limoilou,24,34.54882037080113,11.735479728595035,36,2423802,Wendake,82,First Nations Community,urban_cma,2200,2.544391777811833,3.570906973442761,urban_cma,345.445978597649,229.0819248757821,272.24648473768383,11.735479728595035,34.54882037080765,3.166839133187999e-12
24009,Bécancour--Nicolet--Saurel,24,2842.856091499784,16.740221397668343,37,2438802,Wôlinak,75,First Nations Community,urban_cma,194,2.8758344569426972,7.952916188904398,urban_cma,333.343833699833,185.24429869842135,380.3078524681308,16.740221397668343,2849.6059852347453,0.05481597085156362
24010,Bellechasse--Les Etchemins--Lévis,24,3291.901100858502,67.19089002307929,36,2423802,Wendake,82,First Nations Community,urban_cma,2200,4.222310978552961,8.099524248781876,urban_cma,401.77281913043777,285.56634951492873,227.04087103200834,67.19089002307929,3291.9011008582847,8.60465957252436e-11
24011,Beloeil--Chambly,24,402.8983382152922,73.58345392059334,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.3119186852979725,6.001163208214016,rural_remote,380.82014906947364,214.76095684528525,457.2455944723767,73.58345392059334,402.89833821528043,2.0510252141901515e-11
24012,Berthier--Maskinongé,24,4396.016226739654,47.853085168969365,38,2450802,Odanak,76,First Nations Community,rural_remote,481,3.8888175324611574,8.388681459585566,rural_remote,284.50513941030624,128.05389214950836,428.7543475769758,47.853085168969365,4396.016226739236,9.478009031619402e-11
24013,Thérèse-De Blainville,24,77.36866733096659,91.9819708827909,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.532405612884324,4.361424196083729,rural_remote,345.2349219525983,177.14774353159424,438.76545535612905,91.9819708827909,77.36866733098397,3.9029527954385174e-12
24014,Pierre-Boucher--Les Patriotes--Verchères,24,713.4738951362078,53.85560961097632,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.004704453341899,6.571546460853917,rural_remote,354.74051354835314,189.2768305743742,452.7519256449233,53.85560961097632,713.4738951362771,1.3987290017190939e-11
24015,Bourassa,24,13.964656227132126,83.5515082524319,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.437360913771314,2.705691169248767,rural_remote,358.0723642766822,190.2403311424504,451.3927693315458,83.5515082524319,13.964656227145433,4.861646568826656e-12
24016,Brome--Missisquoi,24,2932.397477694319,101.63475432070108,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.631176611447771,7.983916578954891,rural_remote,428.5099569278044,265.2915655311276,430.5229711293063,101.63475432070108,2932.3974776943446,2.4432800006763834e-11
24017,Brossard--Saint-Lambert,24,54.4928025464253,86.03210411966644,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.466277063455809,4.0162533284945185,rural_remote,377.67662931279966,210.22649127673893,460.20104500691855,86.03210411966644,54.492802546416456,5.890201144234053e-12
24018,Rimouski-Neigette--Témiscouata--Les Basques,24,8051.219265694089,66.38284063007352,31,1313020,St. Basile 10,80,First Nations Community,semi_urban_ca,369,4.2103903954464545,8.993703017597822,semi_urban_ca,469.43778367796597,311.79470607851766,129.8344524019014,66.38284063007352,8051.219265695169,7.54098163019011e-12
24019,Charlesbourg--Haute-Saint-Charles,24,117.54296398964578,4.637973315100845,36,2423802,Wendake,82,First Nations Community,urban_cma,2200,1.7295246596372373,4.775275460177732,urban_cma,334.8105337080246,218.35561604030363,281.6105387427973,4.637973315100845,117.54296398963761,1.121460886559663e-11
24020,Beauport--Côte-de-Beaupré--Île dOrléans--Charlevoix,24,11666.098627638565,92.31523000963118,36,2423802,Wendake,82,First Nations Community,urban_cma,2200,4.535983331505132,9.364528076344186,urban_cma,323.4920912937135,221.05838413674144,228.1795549961804,92.31523000963118,11666.098627638474,2.4750236917134956e-11
24021,Châteauguay--Lacolle,24,940.3153823172449,114.87983299469414,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.752553731708311,6.8472782399868946,rural_remote,401.56209741344924,233.53378106026688,443.3318796657227,114.87983299469414,940.3153823172493,9.599853366654508e-12
24022,Chicoutimi--Le Fjord,24,2819.6103876413044,86.58783592005979,48,2495802,Essipit,80,First Nations Community,rural_remote,310,4.4726421289404446,7.944708590028535,rural_remote,329.133914517263,244.55610678514685,166.91533935393232,86.58783592005979,2819.610387641321,1.2187522210462392e-11
24023,Compton--Stanstead,24,4778.848078940512,123.36852021957084,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.823249095384452,8.472164042331993,rural_remote,449.0718391501109,298.5202463730398,351.7294107603022,123.36852021957084,4778.8480789406585,4.16500117164066e-12
24024,Dorval--Lachine--LaSalle,24,51.27973414226827,98.96731739477936,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.604843306516611,3.956608803476608,rural_remote,372.69593646886005,204.6378461773173,441.09555641081835,98.96731739477936,51.27973414232681,1.6770272613846796e-11
24025,Drummond,24,1669.8332485136038,36.73773287137814,38,2450802,Odanak,76,First Nations Community,rural_remote,481,3.630660465835465,7.4210777321817885,rural_remote,366.2960032067059,212.14652249662143,388.00687983423103,36.73773287137814,1669.8332485136514,1.957024316227329e-11
24026,Gaspésie--Les Îles-de-la-Madeleine,24,16964.507233958426,69.52769263913845,35,2406802,Gesgapegiag,72,First Nations Community,rural_remote,637,4.256005436083202,9.738937575619493,rural_remote,706.1891758125755,187.74624974297996,164.08992322242614,69.52769263913845,16964.50723395861,6.162627345451654e-11
24027,Gatineau,24,133.9614833805743,102.34429404936547,40,2483802,Kitigan Zibi,71,First Nations Community,rural_remote,1204,4.638066074631377,4.904989429438233,rural_remote,315.7427758385723,213.9757210199699,302.2485490758991,102.34429404936547,133.96148338057938,4.6957963950761524e-11
24028,Hochelaga,24,20.17322982227873,80.96869680308107,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.406337428076694,3.052737639512539,rural_remote,363.3412053346363,195.73699708399974,456.77729436668045,80.96869680308107,20.173229822275637,1.338523100298346e-11
24029,Honoré-Mercier,24,39.01299210585975,76.54888082212827,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.350908457824383,3.6892042040234694,rural_remote,355.35583812436244,187.80898660852566,457.96111963623986,76.54888082212827,39.01299210585714,2.3510131167926524e-11
24030,Hull--Aylmer,24,79.74068611835797,108.06494497619927,40,2483802,Kitigan Zibi,71,First Nations Community,rural_remote,1204,4.691943530265343,4.391242613262827,rural_remote,319.6586665914098,228.4769641776188,286.30590487959273,108.06494497619927,79.74068611838459,3.5206734209438585e-11
24031,Joliette,24,9088.422293549893,69.37808016556384,39,2462802,Communauté Atikamekw de Manawan,56,First Nations Community,rural_remote,2000,4.253881853396403,9.114866631086961,rural_remote,236.3330075244398,69.37808016556384,380.5764544337648,111.67511236432301,9096.631541026645,0.06261018997862199
24032,Jonquière,24,42251.46082484654,191.06979834645875,49,2496802,Pessamit,67,First Nations Community,rural_remote,2428,5.257858839020123,10.651417875464247,rural_remote,349.16128160876275,305.5664225073244,191.06979834645875,210.75194456042055,42251.460824847796,2.6292343090275496e-11
24033,La Pointe-de-l'Île,24,42.792930755681006,73.73291638561004,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.313920642814467,3.7794724060841745,rural_remote,356.37583176304145,189.02845981557766,461.4935825745765,73.73291638561004,42.792930755714515,1.583933024825058e-11
24034,La Prairie,24,236.0598724086239,97.57048884087571,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.590771914992185,5.468312735427232,rural_remote,386.9092842693569,219.13201432371937,453.0302169938637,97.57048884087571,287.99459077576887,2.391442765885607
24035,Lac-Saint-Jean,24,60588.67501666302,108.80176948390229,47,2491802,Mashteuiatsh,78,First Nations Community,rural_remote,2010,4.698676644463813,11.011879778278225,rural_remote,197.2883033336049,200.06446006371593,286.8901020121819,108.80176948390229,60608.33685605325,0.035296182494001384
24036,Lac-Saint-Louis,24,80.6824428527783,109.77972253744585,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.707543747975046,4.402839081009313,rural_remote,370.25689285290787,202.25556026436664,427.3705312522346,109.77972253744585,80.68244285281087,3.4459721841807554e-11
24037,LaSalle--Émard--Verdun,24,19.5487026191274,93.34947327331513,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.547005689110212,3.022797806060101,rural_remote,375.28036560185785,207.39250554837008,449.3869440099767,93.34947327331513,19.54870261914013,2.803652216399157e-11
24038,Laurentides--Labelle,24,19619.22072365671,72.57272915717009,39,2462802,Communauté Atikamekw de Manawan,56,First Nations Community,rural_remote,2000,4.298274429316619,9.884315982987609,rural_remote,211.9502662059548,72.57272915717009,306.5002072471433,89.77084096882103,19698.31073279471,0.4147336835042842
24039,Laurier--Sainte-Marie,24,10.699722874402418,85.27063256643017,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.457489245464876,2.4595651555746825,rural_remote,367.2474868421454,199.519695650342,453.9805060531864,85.27063256643017,10.699722874404147,7.508562643358996e-12
24040,Laval--Les Îles,24,47.606590882819816,99.19983126305183,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.607166504647868,3.8837591365844184,rural_remote,360.7801036028685,192.69567972522125,435.2574293880306,99.19983126305183,47.60659088279,3.446208147719202e-11
24041,Longueuil--Charles-LeMoyne,24,38.585750192264555,82.53364231647822,38,2450802,Odanak,76,First Nations Community,rural_remote,481,4.425249452707347,3.678469209871497,rural_remote,373.9709500390444,206.61145908706183,461.7168659485655,82.53364231647822,38.58575019226207,9.86718577352217e-12
24042,Lévis--Lotbinière,24,2121.9001877639635,39.939279462935986,36,2423802,Wendake,82,First Nations Community,urban_cma,2200,3.7120899802476828,7.660538445884871,urban_cma,353.3113929910755,234.54616628773036,296.7455421459046,39.939279462935986,2121.900187763986,5.128673006303344e-11
