"FEDUID","FEDNAME.x","PRUID.x","DGUID","FEDNAME.y","FEDENAME","FEDFNAME","LANDAREA","PRUID.y","dist_nearest_reserve_km","nearest_reserve_cwb","nearest_reserve_name","nearest_reserve_type","nearest_reserve_pop","dist_nearest_cwb_Q4_km","dist_nearest_cwb_Q1_km","reserves_within_50km","reserves_within_100km","reserves_within_200km","log_dist_nearest_km","log_dist_cwb_q4_km","log_dist_cwb_q1_km","log_reserves_50km","log_reserves_100km","log_reserves_200km"
10001,"Avalon","10","2013A000410001","Avalon","Avalon","Avalon",6357.2457,"10",192.764998111235,71,"Samiajij Miawpukek","IRI",956,192.764998111235,635.047822245831,0,0,1,5.26664607484386,5.26664607484386,6.45527375272376,0,0,0.693147180559945
10002,"Bonavista--Burin--Trinity","10","2013A000410002","Bonavista--Burin--Trinity","Bonavista--Burin--Trinity","Bonavista--Burin--Trinity",16529.4593,"10",112.904769833029,71,"Samiajij Miawpukek","IRI",956,112.904769833029,521.86080210738,0,0,1,4.73536274695144,4.73536274695144,6.25931527588164,0,0,0.693147180559945
10003,"Coast of Bays--Central--Notre Dame","10","2013A000410003","Coast of Bays--Central--Notre Dame","Coast of Bays--Central--Notre Dame","Coast of Bays--Central--Notre Dame",38674.0098,"10",87.7617227257202,71,"Samiajij Miawpukek","IRI",956,87.7617227257202,387.131947078229,0,1,1,4.48595550668317,4.48595550668317,5.9613453516019,0,0.693147180559945,0.693147180559945
10004,"Labrador","10","2013A000410004","Labrador","Labrador","Labrador",258539.4032,"10",137.982291722576,56,"Sheshatshiu 3","IRI",1023,749.257541206258,447.914585085507,0,0,2,4.93434652733561,6.62041653586111,6.10683263598297,0,0,1.09861228866811
10005,"Long Range Mountains","10","2013A000410005","Long Range Mountains","Long Range Mountains","Long Range Mountains",37319.1682,"10",207.682935149545,71,"Samiajij Miawpukek","IRI",956,207.682935149545,247.731799657001,0,0,0,5.34081604336841,5.34081604336841,5.51637520615381,0,0,0
10006,"St. John's East / St. John's-Est","10","2013A000410006","St. John's East / St. John's-Est","St. John's East","St. John's-Est",328.3804,"10",220.957841141776,71,"Samiajij Miawpukek","IRI",956,220.957841141776,643.214545665808,0,0,0,5.40248745907131,5.40248745907131,6.46803181606753,0,0,0
10007,"St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl","10","2013A000410007","St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl","St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl",422.7065,"10",224.575229100688,71,"Samiajij Miawpukek","IRI",956,224.575229100688,654.336107410143,0,0,0,5.41865371350983,5.41865371350983,6.48514824510757,0,0,0
11001,"Cardigan","11","2013A000411001","Cardigan","Cardigan","Cardigan",2547.6394,"11",12.3956134720677,NA,"Morell 2","IRI",22,102.265242035123,437.638020654267,3,5,24,2.59492730053446,4.6373008435622,6.08367451862498,1.38629436111989,1.79175946922805,3.2188758248682
11002,"Charlottetown","11","2013A000411002","Charlottetown","Charlottetown","Charlottetown",44.2714,"11",7.49845061942213,NA,"Rocky Point 3","IRI",51,67.8896721245291,442.903632319156,3,6,27,2.13988386681326,4.2325062701879,6.09560749454847,1.38629436111989,1.94591014905531,3.3322045101752
11003,"Egmont","11","2013A000411003","Egmont","Egmont","Egmont",1482.8642,"11",18.6143979565454,65,"Lennox Island 1","IRI",323,18.6143979565454,421.774583453661,1,7,22,2.97626388617724,2.97626388617724,6.04683913736807,0.693147180559945,2.07944154167984,3.13549421592915
11004,"Malpeque","11","2013A000411004","Malpeque","Malpeque","Malpeque",1606.404,"11",27.7724981212084,NA,"Rocky Point 3","IRI",51,44.4229443607233,440.125023335138,3,6,30,3.35942000456234,3.81601735977942,6.08932833489458,1.38629436111989,1.94591014905531,3.43398720448515
12001,"Cape Breton--Canso","12","2013A000412001","Cape Breton--Canso","Cape Breton--Canso","Cape Breton--Canso",8733.0748,"12",11.6173669719095,NA,"Malagawatch 4","IRI",20,19.2883895518439,487.35288709202,5,7,15,2.535074196035,3.01004877916688,6.19103827380807,1.79175946922805,2.07944154167984,2.77258872223978
12002,"Central Nova / Nova-Centre","12","2013A000412002","Central Nova / Nova-Centre","Central Nova","Nova-Centre",9280.9526,"12",28.9817831695644,NA,"Beaver Lake 17","IRI",21,58.2156968972383,550.159679038954,4,8,24,3.40058996954357,4.08118665703502,6.3120245657882,1.6094379124341,2.19722457733622,3.2188758248682
12003,"Cumberland--Colchester","12","2013A000412003","Cumberland--Colchester","Cumberland--Colchester","Cumberland--Colchester",7903.2709,"12",42.6926995631234,68,"Millbrook 27","IRI",860,42.6926995631234,533.887490528515,1,10,28,3.7771810300937,3.7771810300937,6.28205642670272,0.693147180559945,2.39789527279837,3.36729582998647
12004,"Dartmouth--Cole Harbour","12","2013A000412004","Dartmouth--Cole Harbour","Dartmouth--Cole Harbour","Dartmouth--Cole Harbour",89.9908,"12",6.17534531877794,75,"Cole Harbour 30","IRI",203,6.17534531877794,624.579192603849,3,11,23,1.97065088854024,1.97065088854024,6.43867792877365,1.38629436111989,2.484906649788,3.17805383034795
12005,"Halifax","12","2013A000412005","Halifax","Halifax","Halifax",214.5755,"12",36.7602891740991,75,"Cole Harbour 30","IRI",203,36.7602891740991,641.021461719796,1,6,20,3.63125799946035,3.63125799946035,6.4646217326013,0.693147180559945,1.94591014905531,3.04452243772342
12006,"Halifax West / Halifax-Ouest","12","2013A000412006","Halifax West / Halifax-Ouest","Halifax West","Halifax-Ouest",227.3079,"12",3.77320838939238,NA,"Wallace Hills 14A","IRI",10,23.3063589959983,623.555851261899,3,11,23,1.56301869711518,3.19073800319053,6.43704075913258,1.38629436111989,2.484906649788,3.17805383034795
12007,"Kings--Hants","12","2013A000412007","Kings--Hants","Kings--Hants","Kings--Hants",4117.4598,"12",16.6208759187483,63,"Glooscap 35","IRI",81,49.7195856049862,593.264675334166,6,9,28,2.86908433089267,3.9263121398469,6.3873248014914,1.94591014905531,2.30258509299405,3.36729582998647
12008,"Sackville--Preston--Chezzetcook","12","2013A000412008","Sackville--Preston--Chezzetcook","Sackville--Preston--Chezzetcook","Sackville--Preston--Chezzetcook",645.1755,"12",14.5954963056084,75,"Cole Harbour 30","IRI",203,14.5954963056084,613.776794347117,3,11,24,2.74698217421567,2.74698217421567,6.42125926590835,1.38629436111989,2.484906649788,3.2188758248682
12009,"South Shore--St. Margarets","12","2013A000412009","South Shore--St. Margarets","South Shore--St. Margarets","South Shore--St. Margarets",8461.6303,"12",3.96338977709029,NA,"Medway River 11","IRI",15,73.2314930251243,700.829476026911,3,10,18,1.60208893011028,4.30718849442744,6.55369046287542,1.38629436111989,2.39789527279837,2.94443897916644
12010,"Sydney--Victoria","12","2013A000412010","Sydney--Victoria","Sydney--Victoria","Sydney--Victoria",4282.0898,"12",45.5925134257068,59,"Wagmatcook 1","IRI",537,48.3602168365452,422.99364998781,2,6,12,3.84143987212431,3.89914477254829,6.04971847867597,1.09861228866811,1.94591014905531,2.56494935746154
12011,"West Nova / Nova-Ouest","12","2013A000412011","West Nova / Nova-Ouest","West Nova","Nova-Ouest",8869.1804,"12",16.9377868360146,NA,"Bear River (Part) 6","IRI",0,17.2300760688467,697.955685698078,5,11,18,2.88690948424994,2.9030727614107,6.54958734351182,1.79175946922805,2.484906649788,2.94443897916644
13001,"Acadie--Bathurst","13","2013A000413001","Acadie--Bathurst","Acadie--Bathurst","Acadie--Bathurst",5052.8107,"13",15.3933054395889,66,"Pabineau 11","IRI",134,15.3933054395889,391.417198565563,3,11,18,2.79687304658873,2.79687304658873,5.97232555589884,1.38629436111989,2.484906649788,2.94443897916644
13002,"Beauséjour","13","2013A000413002","Beauséjour","Beauséjour","Beauséjour",3991.6049,"13",25.3909233233164,69,"Buctouche 16","IRI",96,25.3909233233164,481.599381245313,3,5,30,3.27302013752411,3.27302013752411,6.1791868710627,1.38629436111989,1.79175946922805,3.43398720448515
13003,"Fredericton","13","2013A000413003","Fredericton","Fredericton","Fredericton",1499.2551,"13",18.6182508616506,62,"Oromocto 26","IRI",282,20.7542377516409,576.589242563774,3,4,23,2.97646029938071,3.07980857771192,6.35886296303498,1.38629436111989,1.6094379124341,3.17805383034795
13004,"Fundy Royal","13","2013A000413004","Fundy Royal","Fundy Royal","Fundy Royal",7225.647,"13",68.7538915359894,NA,"Fort Folly 1","IRI",40,87.502087049102,553.386047097843,0,5,33,4.2449732117758,4.48302613421155,6.31786127998655,0,1.79175946922805,3.52636052461616
13005,"Madawaska--Restigouche","13","2013A000413005","Madawaska--Restigouche","Madawaska--Restigouche","Madawaska--Restigouche",11681.7316,"13",67.6856034759303,67,"Listuguj","IRI",1241,67.6856034759303,481.600638189881,0,5,19,4.22953962087718,4.22953962087718,6.17918947558931,0,1.79175946922805,2.99573227355399
13006,"Miramichi--Grand Lake","13","2013A000413006","Miramichi--Grand Lake","Miramichi--Grand Lake","Miramichi--Grand Lake",16837.2377,"13",9.8252398742542,NA,"Renous 12","IRI",10,11.394115624931,478.445398075284,5,11,23,2.38188043292749,2.51722181360169,6.17263001521237,1.79175946922805,2.484906649788,3.17805383034795
