CSD Code / Code de la SDR 2006,CSD Name / Nom de la SDR 2006,2A Population / Population 2A 2006,Income / Revenu 2006,Education / Scolarité 2006,Housing / Logement 2006,Labour Force Activity / Activité sur le marché du travail 2006,CWB / IBC 2006,Community Type / Type de communauté 2006
1001101,"Division No.  1, Subd. V",,,,,,,Non-Indigenous Community / Communauté non-autochtone
1001105,Portugal Cove South,222,,,,,66,Non-Indigenous Community / Communauté non-autochtone
1001113,Trepassey,763,68,42,95,71,69,Non-Indigenous Community / Communauté non-autochtone
1001120,St. Shott's,109,,,,,72,Non-Indigenous Community / Communauté non-autochtone
1001124,"Division No.  1, Subd. U",1620,63,43,94,77,69,Non-Indigenous Community / Communauté non-autochtone
1001126,Cape Broyle,545,63,49,100,72,71,Non-Indigenous Community / Communauté non-autochtone
1001131,Renews-Cappahayden,421,69,51,93,80,73,Non-Indigenous Community / Communauté non-autochtone
1001136,Fermeuse,284,65,38,95,70,67,Non-Indigenous Community / Communauté non-autochtone
1001140,Port Kirwan,85,,,,,72,Non-Indigenous Community / Communauté non-autochtone
1001144,Aquaforte,103,,,,,65,Non-Indigenous Community / Communauté non-autochtone
1001149,Ferryland,529,63,51,97,78,72,Non-Indigenous Community / Communauté non-autochtone
1001155,"Division No.  1, Subd. W",561,71,39,93,70,68,Non-Indigenous Community / Communauté non-autochtone
1001169,St. Vincent's-St. Stephen's-Peter's River,363,57,21,93,64,59,Non-Indigenous Community / Communauté non-autochtone
1001174,Gaskiers-Point La Haye,302,56,29,93,57,58,Non-Indigenous Community / Communauté non-autochtone
1001178,St. Mary's,482,68,53,100,71,73,Non-Indigenous Community / Communauté non-autochtone
1001181,Riverhead,220,,,,,66,Non-Indigenous Community / Communauté non-autochtone
1001186,Admirals Beach,185,,,,,71,Non-Indigenous Community / Communauté non-autochtone
1001192,St. Joseph's,144,,,,,75,Non-Indigenous Community / Communauté non-autochtone
1001197,Mount Carmel-Mitchells Brook-St. Catherines,438,65,43,98,57,66,Non-Indigenous Community / Communauté non-autochtone
1001203,"Division No.  1, Subd. X",510,62,46,96,70,68,Non-Indigenous Community / Communauté non-autochtone
1001207,Colinet,165,,,,,73,Non-Indigenous Community / Communauté non-autochtone
